,TITLE,AUTHOR,PAGES,RATING,REVIEWERS,PLACE (COUNTRY),ORIGINAL YEAR,AWARDS,SERIES,GENRES,URL LINKS
19,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,239,4.06,503505,United States,1871,No Award,1,"Classics, Fantasy, Fiction, ",https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
20,The Perks of Being a Wallflower,Stephen Chbosky,213,4.21,1470801,United States,1999,No Award,0,"Young Adult, Fiction, Contemporary, ",https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower
21,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,309,4.48,8330148,United Kingdom,1997,"Mythopoeic Fantasy Award for Children's Literature (2008), British Book Award for Children's Book of the Year (1998), Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002), American Booksellers Book Of The Year  Award for Children (1999), Audie Award (2000)   West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2000), South Carolina Book Award for Junior Book Award (2001), Grand Canyon Reader Award for Teen Book (2000), Charlotte Award (2000), Nene Award (2000), Massachusetts Children's Book Award (2000), Colorado Blue Spruce Young Adult Book Award (2001), Blue Hen Book Award for Chapter Book (2001), Nevada Young Readers' Award for Young Reader Category (2000), Golden Archer Award for Middle/Junior High (2000), Indian Paintbrush Book Award (2000), Hotze de Roosprijs (2002), NestlÇ¸ Smarties Book Prize for 9ƒ??11 years (1997), Eliot Rosewater Indiana High School Book Award (2001), Kinderboekwinkelprijs (1999), Parenting Book of the Year Award (1998), North East Teenage Book Award (1999), Specsavers National Book Award for Children's Book of the Year (1998), Washington State Sasquatch Award (2000), Literaturpreis der Jury der jungen Leser for Kinderbuch (1999), Carnegie Medal Nominee (1997), Rebecca Caudill Young Readers' Book Award (2001), Premi Protagonista Jove for Categoria 12-13 anys (2000)",1,None,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
22,Fahrenheit 451,Ray Bradbury,194,3.98,1974002,France,1862,"Prometheus Hall of Fame Award (1984), Geffen Award for Best Translated SF Book (2002), California Book Award for Fiction (Silver) (1953), Retro Hugo Award for Best Novel (2004)",0,"Classics, Fiction, Science Fiction, ",https://www.goodreads.com/book/show/13079982-fahrenheit-451
23,Les MisÇ¸rables,Victor Hugo,1463,4.19,733504,United States,2011,No Award,0,"Classics, Fiction, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/24280.Les_Mis_rables
24,"Divergent (Divergent, #1)",Veronica Roth,487,4.17,3369236,United States,2011,"Georgia Peach Book Award (2012), South Carolina Book Award for Young Adult (2014), Rhode Island Teen Book Award (2013), Evergreen Teen Book Award (2014), Soaring Eagle Book Award (2012)   Milwaukee County Teen Book Award Nominee (2012), Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012), Sakura Medal, New Mexico Land of Enchantment Award for Young Adult (2014), Eliot Rosewater Indiana High School Book Award (2014), California Young Readers Medal for Young Adult (2014), Lincoln Award Nominee (2014), DABWAHA Romance Tournament for Best Young Adult Romance (2012), Goodreads Choice Award for Favorite Book and for Young Adult Fantasy & Science Fiction and Nominee for Goodreads Author (2011), Green Mountain Book Award (2013), The Magnolia Award for 6-8 (2014), Louisiana Teen Readers' Choice (2014), Missouri Gateway Readers Award (2014), Oklahoma Sequoyah Award for High Schol (2014), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2011)",1,"Young Adult, Science Fiction > Dystopia, Fiction, ",https://www.goodreads.com/book/show/13335037-divergent
25,The Great Gatsby,F. Scott Fitzgerald,200,3.93,4356083,Morocco,1988,"Grammy Award Nominee for Best Spoken Word Album (2003), Long Island Reads (2002)",0,None,https://www.goodreads.com/book/show/4671.The_Great_Gatsby
26,The Alchemist,Paulo Coelho,182,3.89,2480194,Russia,1866,"NBDB National Book Awards Nominee for Translation (2015), Grand Prix des lectrices de Elle for roman (1995), Premio Grinzane Cavour for Narrativa Straniera (1996), Corine Internationaler Buchpreis for Belletristik (2002)",0,"Fiction, Classics, Fantasy, ",https://www.goodreads.com/book/show/18144590-the-alchemist
27,Crime and Punishment,Fyodor Dostoevsky,671,4.24,730247,None,1954,No Award,0,"Classics, Fiction, Cultural > Russia, ",https://www.goodreads.com/book/show/7144.Crime_and_Punishment
28,Lord of the Flies,William Golding,182,3.69,2531475,None,1954,No Award,0,"Classics, Fiction, Young Adult, ",https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
29,The Little Prince,Antoine de Saint-ExupÇ¸ry,96,4.31,1680718,Italy,1943,Retro Hugo Award for Best Novella (2019),0,"Classics, Fiction, Fantasy, ",https://www.goodreads.com/book/show/157993.The_Little_Prince
30,Romeo and Juliet,William Shakespeare,281,3.75,2285428,United Kingdom,1597,None,None,"Classics, Plays, Fiction, ",https://www.goodreads.com/book/show/18135.Romeo_and_Juliet
31,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,485,4.09,1801608,Canada,2007,"Locus Award Nominee for Best First Novel (2008), Georgia Peach Book Award Nominee for Honor book (2009), South Carolina Book Award Nominee for Young Adult Book Award (2010), Pacific Northwest Library Association Young Reader's Choice Award (2010), Lincoln Award (2010)",1,"Fantasy, Young Adult, Fantasy > Paranormal, ",https://www.goodreads.com/book/show/256683.City_of_Bones
32,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,320,4.28,837052,United States,1908,No Award,1,"Classics, Fiction, Young Adult, ",https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
33,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,377,4.28,2382095,United States,2005,"Young Readers' Choice Award (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2011), South Carolina Book Award for Junior Book Award (2008), Grand Canyon Reader Award for Tween Book (2008), Nene Award (2008)   Massachusetts Children's Book Award (2008), Pennsylvania Young Readers' Choice Award for Grades 6-8 (2008), Rhode Island Teen Book Award Nominee (2007), Sunshine State Young Readers Award for Grades 6-8 (2007), Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2008), Iowa Teen Award (2009), Lincoln Award Nominee (2009), Oklahoma Sequoyah Award for YA (2008), Rebecca Caudill Young Readers' Book Award (2009)",1,"Fantasy, Young Adult, Fantasy > Mythology, ",https://www.goodreads.com/book/show/28187.The_Lightning_Thief
34,The Help,Kathryn Stockett,464,4.46,2413888,United States,2009,None,None,"Fiction, Historical > Historical Fiction, Historical, ",https://www.goodreads.com/book/show/4667024-the-help
35,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,324,4.3,1238257,None,1985,"Hugo Award for Best Novel (1986), Nebula Award for Best Novel (1985), Premi Ictineu for Millor novel¶úla traduÇîda (2014), Margaret A. Edwards Award (2008)",1,"Science Fiction, Young Adult, Fantasy, ",https://www.goodreads.com/book/show/375802.Ender_s_Game
36,Charlotte's Web,E.B. White,184,4.18,1600521,United States,1952,"Newbery Medal Nominee (1953), George C. Stone Center for Children's Books Recognition of Merit Award (1970), Audie Award Nominee for Audiobook of the Year and Middle Grade (2020), Massachusetts Children's Book Award (1984), Laura Ingalls Wilder Award (1970)",0,"Classics, Childrens, Fiction, ",https://www.goodreads.com/book/show/24178.Charlotte_s_Web
37,Of Mice and Men,John Steinbeck,112,3.88,2188120,United States,1937,New York Drama Critics' Circle Award for Best American Play (1938),0,"Classics, Fiction, Academic > School, ",https://www.goodreads.com/book/show/890.Of_Mice_and_Men
38,Dracula,Bram Stoker,488,4,1066854,Romania,1897,No Award,0,"Classics, Horror, Fiction, ",https://www.goodreads.com/book/show/17245.Dracula
39,The Time Traveler's Wife,Audrey Niffenegger,500,3.98,1669840,United States,2003,"Arthur C. Clarke Award Nominee (2005), Orange Prize Nominee for Fiction Longlist (2004), British Book Award (2006), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2005), Exclusive Books Boeke Prize (2005)   ALA Alex Award (2004)",0,"Fiction, Romance, Fantasy, ",https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
40,Brave New World,Aldous Huxley,268,3.99,1614527,United States,1932,No Award,0,"Classics, Fiction, Science Fiction, ",https://www.goodreads.com/book/show/5129.Brave_New_World
41,One Hundred Years of Solitude,Gabriel GarcÇða MÇ­rquez,417,4.1,840285,United States,1967,None,None,"Fiction, Classics, Magical Realism, ",https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
42,The Catcher in the Rye,J.D. Salinger,277,3.81,3063401,United States,1951,None,None,"Classics, Fiction, Young Adult, ",https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
43,The Princess Bride,William Goldman,456,4.26,835327,None,1973,No Award,0,"Fantasy, Fiction, Classics, ",https://www.goodreads.com/book/show/21787.The_Princess_Bride
44,A Thousand Splendid Suns,Khaled Hosseini,372,4.4,1303873,Afghanistan,2007,"British Book Award for Best Read of the Year (2008), Book Sense Book of the Year Award for Adult Fiction (2008), California Book Award for Fiction (Silver) (2007), Exclusive Books Boeke Prize Nominee (2007), Lincoln Award Nominee (2011)",0,"Fiction, Historical > Historical Fiction, Contemporary, ",https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
45,The Secret Garden,Frances Hodgson Burnett,331,4.14,1012637,United Kingdom,1910,Lewis Carroll Shelf Award (1958),0,"Classics, Fiction, Childrens, ",https://www.goodreads.com/book/show/2998.The_Secret_Garden
46,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,835,4.44,2206193,United States,1996,None,None,"Fantasy, Fiction, Fantasy > Epic Fantasy, ",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
47,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,218,3.99,1113432,United States,1967,"Newbery Medal (1963), Vermont Golden Dome Book Award Nominee (1964), Oklahoma Sequoyah Award (1965), Margaret A. Edwards Award (1998)",1,"Fantasy, Fiction, Classics, ",https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
48,The Outsiders,S.E. Hinton,192,4.11,1095248,United States,1967,"Books I Loved Best Yearly (BILBY) Awards for Secondary  (1991), Margaret A. Edwards Award (1988)",0,"Classics, Young Adult, Fiction, ",https://www.goodreads.com/book/show/231804.The_Outsiders
49,The Adventures of Huckleberry Finn,Mark Twain,327,3.82,1203763,United States,1884,No Award,1,"Classics, Fiction, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
50,The Odyssey,Homer,541,3.79,947326,Greece,-800,No Award,0,None,https://www.goodreads.com/book/show/1381.The_Odyssey
51,The Lovely Bones,Alice Sebold,372,3.83,2167286,United States,2002,"Bram Stoker Award for Best First Novel (2002), Orange Prize Nominee for Fiction Longlist (2003), British Book Award for Best Read of the Year (2004), Book Sense Book of the Year Award for Adult Fiction (2003), California Book Award for First Fiction (Silver) (2002)   South Carolina Book Award for Young Adult Book Award (2005), Chicago Tribune Heartland Prize for Fiction (2002), Iowa High School Book Award (2005), Puddly Award for Fiction (2003), Eliot Rosewater Indiana High School Book Award (2005), Lincoln Award Nominee (2005), Missouri Gateway Readers Award (2005)",0,"Fiction, Mystery, Young Adult, ",https://www.goodreads.com/book/show/12232938-the-lovely-bones
52,Where the Wild Things Are,Maurice Sendak,38,4.22,906809,None,1963,"Caldecott Medal (1964), Lewis Carroll Shelf Award, Indies Choice Book Award for Picture Book Hall of Fame (2009)",0,"Childrens, Childrens > Picture Books, Fiction, ",https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
53,Green Eggs and Ham,Dr. Seuss,64,4.3,692035,India,1960,No Award,0,"Childrens, Childrens > Picture Books, Classics, ",https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
54,Life of Pi,Yann Martel,460,3.92,1464179,France,2001,"Booker Prize (2002), Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2003), Exclusive Books Boeke Prize (2003), Governor General's",0,"Fiction, Fantasy, Classics, ",https://www.goodreads.com/book/show/4214.Life_of_Pi
55,A Tale of Two Cities,Charles Dickens,489,3.86,869340,France,1859,No Award,0,"Classics, Fiction, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
56,The Kite Runner,Khaled Hosseini,371,4.32,2724271,Afghanistan,2003,"Borders Original Voices Award for Fiction (2003), Humo's Gouden Bladwijzer (2008), Exclusive Books Boeke Prize (2004), ALA Alex Award (2004), Puddly Award for Fiction (2006)   Lincoln Award Nominee (2006), Prix des libraires du QuÇ¸bec for LaurÇ¸ats hors QuÇ¸bec (2006), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)",0,"Fiction, Historical > Historical Fiction, Classics, ",https://www.goodreads.com/book/show/77203.The_Kite_Runner
57,Lolita,Vladimir Nabokov,331,3.88,732788,United States,1955,National Book Award Finalist for Fiction (1959),0,"Classics, Fiction, Literature, ",https://www.goodreads.com/book/show/7604.Lolita
58,Water for Elephants,Sara Gruen,335,4.1,1486482,United States,2006,"Book Sense Book of the Year Award for Adult Fiction (2007), ALA Alex Award (2007), The Quill Award Nominee for General Fiction (2006), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)",0,"Fiction, Historical > Historical Fiction, Romance, ",https://www.goodreads.com/book/show/43641.Water_for_Elephants
59,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,260,3.83,1321237,Germany,1818,No Award,0,"Classics, Fiction, Horror, ",https://www.goodreads.com/book/show/35031085-frankenstein
60,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,314,4.12,1704993,United States,1985,"Booker Prize Nominee (1986), Nebula Award Nominee for Best Novel (1986), Locus Award Nominee for Best SF Novel (1987), Arthur C. Clarke Award (1987), Audie Award for Fiction (2013)   Los Angeles Times Book Prize for Fiction (1986), Prometheus Award Nominee for Best Novel (1987), James Tiptree Jr. Award Nominee for Retrospective (1995), Governor General's",1,"Fiction, Classics, Science Fiction > Dystopia, ",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
61,"The Giver (The Giver, #1)",Lois Lowry,208,4.13,2067107,Germany,1993,"Newbery Medal (1994), Mythopoeic Fantasy Award Nominee for Children's Literature (1994), Golden Duck Award for Young Adult (Hal Clement Award) (1994), Garden State Book Award for Teen Fiction Grades 6-8 (1996), Buckeye Children's Book Award for Grade 6-8 (1997)   Grand Canyon Reader Award for Teen Book (1995), Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995), Golden Sower Award for Young Adult (1995), Pennsylvania Young Readers' Choice Award for Grades 3-8 (1995), Soaring Eagle Book Award Nominee (1996), Pacific Northwest Library Association Young Reader's Choice Award for Senior (1996), Boston Globe-Horn Book Award Nominee for Fiction (1993), New Mexico Land of Enchantment Award (1997), Eliot Rosewater Indiana High School Book Award (1997), William Allen White Children's Book Award (1996), Wyoming Indian Paintbrush Nominee (1996), NSK Neustadt Prize for Children's Literature Nominee (2013), Oklahoma Sequoyah Award for YA (1996), Rebecca Caudill Young Readers' Book Award (1996), Hea Lasteraamat (2010), Premi Protagonista Jove for Categoria 13-14 anys (2016), Margaret A. Edwards Award (2007)",1,"Young Adult, Fiction, Classics, ",https://www.goodreads.com/book/show/3636.The_Giver
62,Slaughterhouse-Five,Kurt Vonnegut Jr.,275,4.08,1227380,United States,1969,"Hugo Award Nominee for Best SF Novel (1970), Nebula Award Nominee for Best Novel (1969), National Book Award Finalist for Fiction (1970), Chicago Publishers' Award (1970)",0,"Classics, Fiction, Science Fiction, ",https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
63,Little Women,Louisa May Alcott,449,4.12,1904463,United Kingdom,1869,No Award,1,"Classics, Fiction, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/1934.Little_Women
64,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,759,4.62,3194318,United Kingdom,2007,"Locus Award Nominee for Best Young Adult Novel (2008), Odyssey Award Nominee (2008), Audie Award (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2008), Teen Read Award Nominee for Best All-Time-Fave (2010)   Puddly Award for Fiction (2008), Andre Norton Award (2007), Carnegie Medal Nominee (2008)",1,"Fantasy, Young Adult, Fiction, ",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
65,"Dune (Dune, #1)",Frank Herbert,658,4.25,1033856,None,1965,"Hugo Award for Best Novel (1966), Nebula Award for Best Novel (1965), Seiun Award ‘??‚?ýŠü? for Best Foreign Novel (1974)",1,"Science Fiction, Fiction, Fantasy, ",https://www.goodreads.com/book/show/44767458-dune
66,1984,George Orwell,298,4.19,3730448,None,1949,None,None,"Classics, Fiction, Science Fiction, ",https://www.goodreads.com/book/show/40961427-1984
67,Catch-22,Joseph Heller,453,3.98,772332,United States,1978,National Book Award Finalist for Fiction (1962),1,None,https://www.goodreads.com/book/show/168668.Catch_22
68,The Stand,Stephen King,1152,4.34,682120,United States,1968,"Locus Award Nominee for Best SF Novel (1979), World Fantasy Award Nominee for Best Novel (1979), Gandalf Award Nominee (1979), Balrog Award Nominee for Best Novel (1979) (1980)",0,"Horror, Fiction, Fantasy, ",https://www.goodreads.com/book/show/149267.The_Stand
69,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,976,4.32,698135,United Kingdom,1989,No Award,1,"Historical > Historical Fiction, Fiction, Historical, ",https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth
70,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,389,4.3,268675,United Kingdom,1972,None,None,"Classics, Mystery, Fiction, ",https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
71,"Watership Down (Watership Down, #1)",Richard  Adams,478,4.07,455081,United States,1963,"Mythopoeic Fantasy Award Nominee (1975), Guardian Children's Fiction Prize (1973), Audie Award Nominee for Best Male Narrator (2020), Boston Globe-Horn Book Award (1975), California Young Readers Medal for Young Adult (1977)   Carnegie Medal (1972)",1,"Classics, Fiction, Fantasy, ",https://www.goodreads.com/book/show/76620.Watership_Down
72,The Bell Jar,Sylvia Plath,294,4.03,700665,United States,1963,No Award,0,"Classics, Fiction, Feminism, ",https://www.goodreads.com/book/show/6514.The_Bell_Jar
73,Matilda,Roald Dahl,240,4.33,778316,United Kingdom,1988,"Odyssey Award Nominee (2014), Prijs van de Nederlandse Kinderjury for 10-12 jaar en 13-16 jaar (1989), Audie Award for Children's Titles Ages 8-12 (2014), Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1990), Younger Readers (1997) (1990), West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (1989)   Blue Peter Book Award for Voter's Award - Book that Made Me Laugh the Loudest (2000), Red House Children's Book Award (1989), Maryland Black-Eyed Susan Book Award for Book Award (1992), Massachusetts Children's Book Award (1992), Nevada Young Readers' Award for Intermediate Category  (1992), Beehive Book Award for Children's Fiction (1991), Indian Paintbrush Book Award (1991), Bluestem Book Award Nominee (2016), Virginia Reader's Choice for Elementary (1990), Rebecca Caudill Young Readers' Book Award (1991)",0,"Childrens, Fiction, Classics, ",https://www.goodreads.com/book/show/39988.Matilda
74,Great Expectations,Charles Dickens,544,3.79,716584,None,1860,"Audie Award for Classic (2010), Ñ?¥?ÑæÑ¬¥?¥ ¥?Ñ¬ÑæÑ«¥? Ñ?ÑøÑ§¥Ñ÷Ñ¬Ñø ÑÿÑ÷Ñ¯¥?¥¥?Ñ§ÑóÑüÑó (1993)",0,"Classics, Fiction, Literature, ",https://www.goodreads.com/book/show/2623.Great_Expectations
75,Anna Karenina,Leo Tolstoy,964,4.07,742268,Russia,1877,No Award,0,"Classics, Fiction, Romance, ",https://www.goodreads.com/book/show/15823480-anna-karenina
